Current state,Previous residence,Persons
JAMMU & KASHMIR,Jammu & Kashmir,0
JAMMU & KASHMIR,Himachal Pradesh,8609
JAMMU & KASHMIR,Punjab,43938
JAMMU & KASHMIR,Chandigarh,611
JAMMU & KASHMIR,Uttarakhand,3180
JAMMU & KASHMIR,Haryana,5987
JAMMU & KASHMIR,NCT of Delhi,5269
JAMMU & KASHMIR,Rajasthan,6079
JAMMU & KASHMIR,Uttar Pradesh,20190
JAMMU & KASHMIR,Bihar,13200
JAMMU & KASHMIR,Sikkim,109
JAMMU & KASHMIR,Arunachal Pradesh,105
JAMMU & KASHMIR,Nagaland,97
JAMMU & KASHMIR,Manipur,227
JAMMU & KASHMIR,Mizoram,57
JAMMU & KASHMIR,Tripura,173
JAMMU & KASHMIR,Meghalaya,139
JAMMU & KASHMIR,Assam,1906
JAMMU & KASHMIR,West Bengal,10164
JAMMU & KASHMIR,Jharkhand,2210
JAMMU & KASHMIR,Odisha,2233
JAMMU & KASHMIR,Chhattisgarh,9949
JAMMU & KASHMIR,Madhya Pradesh,7599
JAMMU & KASHMIR,Gujarat,1237
JAMMU & KASHMIR,Daman & Diu,6
JAMMU & KASHMIR,Dadra & Nagar Haveli,17
JAMMU & KASHMIR,Maharashtra,4722
JAMMU & KASHMIR,Andhra Pradesh,2085
JAMMU & KASHMIR,Karnataka,1313
JAMMU & KASHMIR,Goa,116
JAMMU & KASHMIR,Lakshadweep,264
JAMMU & KASHMIR,Kerala,1485
JAMMU & KASHMIR,Tamil Nadu,1842
JAMMU & KASHMIR,Puducherry,18
JAMMU & KASHMIR,Andaman & Nicobar Islands,51
JAMMU & KASHMIR,Afganistan,9
JAMMU & KASHMIR,Bangladesh,300
JAMMU & KASHMIR,Bhutan,7
JAMMU & KASHMIR,China,861
JAMMU & KASHMIR,Indonesia,10
JAMMU & KASHMIR,Iran,42
JAMMU & KASHMIR,Iraq,23
JAMMU & KASHMIR,Japan,19
JAMMU & KASHMIR,Kuwait,3
JAMMU & KASHMIR,Malaysia,4
JAMMU & KASHMIR,Maldives,0
JAMMU & KASHMIR,Mayanmar,474
JAMMU & KASHMIR,Nepal,2016
JAMMU & KASHMIR,Pakistan,15243
JAMMU & KASHMIR,Saudi Arabia,132
JAMMU & KASHMIR,Singapore,11
JAMMU & KASHMIR,Sri Lanka,0
JAMMU & KASHMIR,Turkey,0
JAMMU & KASHMIR,United Arab Emirates,49
JAMMU & KASHMIR,Kazakstan,2
JAMMU & KASHMIR,Vietnam,0
JAMMU & KASHMIR,Countries in Europe,395
JAMMU & KASHMIR,France,5
JAMMU & KASHMIR,Germany,22
JAMMU & KASHMIR,Portugal,0
JAMMU & KASHMIR,UK,65
JAMMU & KASHMIR,Kenya,0
JAMMU & KASHMIR,Mauritius,4
JAMMU & KASHMIR,Nigeria,5
JAMMU & KASHMIR,Uganda,1
JAMMU & KASHMIR,Zambia,0
JAMMU & KASHMIR,Canada,18
JAMMU & KASHMIR,U.S.A.,121
JAMMU & KASHMIR,Australia,29
JAMMU & KASHMIR,Fiji,3
HIMACHAL PRADESH,Jammu & Kashmir,15565
HIMACHAL PRADESH,Himachal Pradesh,0
HIMACHAL PRADESH,Punjab,130851
HIMACHAL PRADESH,Chandigarh,11136
HIMACHAL PRADESH,Uttarakhand,22740
HIMACHAL PRADESH,Haryana,35750
HIMACHAL PRADESH,NCT of Delhi,18467
HIMACHAL PRADESH,Rajasthan,8652
HIMACHAL PRADESH,Uttar Pradesh,66005
HIMACHAL PRADESH,Bihar,37600
HIMACHAL PRADESH,Sikkim,844
HIMACHAL PRADESH,Arunachal Pradesh,1052
HIMACHAL PRADESH,Nagaland,172
HIMACHAL PRADESH,Manipur,220
HIMACHAL PRADESH,Mizoram,77
HIMACHAL PRADESH,Tripura,131
HIMACHAL PRADESH,Meghalaya,197
HIMACHAL PRADESH,Assam,2134
HIMACHAL PRADESH,West Bengal,5897
HIMACHAL PRADESH,Jharkhand,10645
HIMACHAL PRADESH,Odisha,3295
HIMACHAL PRADESH,Chhattisgarh,5008
HIMACHAL PRADESH,Madhya Pradesh,6509
HIMACHAL PRADESH,Gujarat,1578
HIMACHAL PRADESH,Daman & Diu,31
HIMACHAL PRADESH,Dadra & Nagar Haveli,8
HIMACHAL PRADESH,Maharashtra,5752
HIMACHAL PRADESH,Andhra Pradesh,1933
HIMACHAL PRADESH,Karnataka,1538
HIMACHAL PRADESH,Goa,111
